Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
2,Manuel Akanji,Milan Skriniar,10,8,855,536,1,0,2,0,6,1,4,0,16,8,8,3,53,22,0,0,0,0,34.6,31.2,93.2,87.38,1
2,Manuel Akanji,Alessandro Bastoni,10,11,855,913,1,0,2,3,6,4,4,1,16,19,8,9,53,44,0,0,0,0,34.6,33.9,93.2,86.1,1
2,Rico Lewis*,Denzel Dumfries,2,11,118,810,1,1,0,0,2,10,1,5,2,10,1,5,4,19,0,0,0,0,32.4,34.71,93,68.64,1
2,Rico Lewis*,Stefan de Vrij,2,7,118,298,1,0,0,0,2,0,1,0,2,6,1,3,4,11,0,0,0,0,32.4,31,93,76.72,1
2,Rico Lewis*,Raoul Bellanova,2,2,118,104,1,0,0,0,2,0,1,0,2,2,1,1,4,5,0,0,0,0,32.4,35.5,93,72.5,1
2,Rico Lewis*,Francesco Acerbi,2,11,118,829,1,0,0,0,2,9,1,2,2,12,1,9,4,54,0,0,0,0,32.4,31.4,93,81,0
2,Rico Lewis*,Federico Dimarco,2,10,118,646,1,0,0,5,2,11,1,2,2,5,1,1,4,28,0,0,0,0,32.4,33.4,93,74.91,1
2,Rico Lewis*,Danilo D'Ambrosio,2,5,118,150,1,0,0,0,2,2,1,1,2,3,1,2,4,12,0,0,0,0,32.4,30.6,93,70.8,1
2,Rico Lewis*,Matteo Darmian,2,10,118,736,1,0,0,0,2,1,1,0,2,16,1,10,4,40,0,0,0,0,32.4,32.9,93,81.8,0
2,Rico Lewis*,Milan Skriniar,2,8,118,536,1,0,0,0,2,1,1,0,2,8,1,3,4,22,0,0,0,0,32.4,31.2,93,87.38,1
2,Rico Lewis*,Alessandro Bastoni,2,11,118,913,1,0,0,3,2,4,1,1,2,19,1,9,4,44,0,0,0,0,32.4,33.9,93,86.1,1
3,Kalvin Phillips,Roberto Gagliardini,3,6,40,112,0,0,0,0,0,1,0,1,1,3,1,0,4,7,0,0,0,0,28.9,30,64.34,93.17,0
3,Kalvin Phillips,Robin Gosens,3,10,40,404,0,1,0,0,0,3,0,3,1,17,1,10,4,15,0,0,0,0,28.9,32.3,64.34,74.7,0
3,Kalvin Phillips,Kristjan Asllani,3,5,40,125,0,0,0,0,0,1,0,1,1,1,1,0,4,6,0,0,0,0,28.9,29.9,64.34,70.8,0
3,Kalvin Phillips,Hakan Çalhano?lu,3,11,40,723,0,1,0,2,0,12,0,4,1,15,1,4,4,40,0,0,0,0,28.9,32,64.34,90.19,0
3,Kalvin Phillips,Henrikh Mkhitaryan,3,12,40,903,0,2,0,0,0,15,0,8,1,14,1,5,4,48,0,0,0,0,28.9,32.5,64.34,84.17,0
3,Kalvin Phillips,Nicolò Barella,3,11,40,907,0,3,0,0,0,17,0,5,1,16,1,8,4,32,0,0,0,0,28.9,33.71,64.34,79.91,0
3,Kalvin Phillips,Marcelo Brozovi?,3,8,40,456,0,0,0,0,0,3,0,0,1,9,1,6,4,37,0,0,0,0,28.9,31,64.34,90.38,0
3,Kalvin Phillips,Valentin Carboni*,3,1,40,14,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,28.9,26.6,64.34,50,1
3,Cole Palmer*,Roberto Gagliardini,4,6,137,112,0,0,0,0,4,1,1,1,2,3,1,0,3,7,0,0,0,0,30.7,30,76.5,93.17,0
3,Cole Palmer*,Robin Gosens,4,10,137,404,0,1,0,0,4,3,1,3,2,17,1,10,3,15,0,0,0,0,30.7,32.3,76.5,74.7,0
3,Cole Palmer*,Kristjan Asllani,4,5,137,125,0,0,0,0,4,1,1,1,2,1,1,0,3,6,0,0,0,0,30.7,29.9,76.5,70.8,0
3,Cole Palmer*,Hakan Çalhano?lu,4,11,137,723,0,1,0,2,4,12,1,4,2,15,1,4,3,40,0,0,0,0,30.7,32,76.5,90.19,0
3,Cole Palmer*,Henrikh Mkhitaryan,4,12,137,903,0,2,0,0,4,15,1,8,2,14,1,5,3,48,0,0,0,0,30.7,32.5,76.5,84.17,0
3,Cole Palmer*,Nicolò Barella,4,11,137,907,0,3,0,0,4,17,1,5,2,16,1,8,3,32,0,0,0,0,30.7,33.71,76.5,79.91,0
